City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tokar,18.4254,37.729,27.14,70,8,5.24,SD,1701656686
1,la dorada,5.4478,-74.6631,24.79,88,47,0.41,CO,1701656686
2,longyearbyen,78.2186,15.6401,-9.09,67,40,7.2,SJ,1701656686
3,palo santo,-25.5633,-59.3378,21.59,97,100,2.99,AR,1701656686
4,ribeira grande,38.5167,-28.7,15.45,52,35,3.04,PT,1701656686
5,hawaiian paradise park,19.5933,-154.9731,23.82,95,100,3.6,US,1701656686
6,isafjordur,66.0755,-23.124,0.48,91,100,3.73,IS,1701656687
7,masterton,-40.9597,175.6575,11.2,95,100,1.71,NZ,1701656687
8,east london,-33.0153,27.9116,19.72,81,100,1.93,ZA,1701656687
9,kalifornsky,60.4183,-151.29,-5.92,91,0,0.0,US,1701656687
10,antofagasta,-23.65,-70.4,17.6,76,38,1.6,CL,1701656392
11,yellowknife,62.456,-114.3525,-19.71,84,100,3.09,CA,1701656687
12,georgetown,5.4112,100.3354,28.96,89,20,1.03,MY,1701656687
13,west island,-12.1568,96.8225,27.99,74,40,5.66,CC,1701656687
14,port mathurin,-19.6833,63.4167,25.74,80,31,8.2,MU,1701656687
15,albany,42.6001,-73.9662,5.3,93,100,1.34,US,1701656688
16,fort bragg,35.139,-79.006,18.85,81,0,3.6,US,1701656688
17,rongelap,11.1635,166.8941,27.81,68,76,7.52,MH,1701656688
18,wailua homesteads,22.0669,-159.378,26.24,79,0,5.14,US,1701656688
19,kertih,4.5141,103.4483,29.01,84,20,0.0,MY,1701656688
20,nuuk,64.1835,-51.7216,-1.66,80,100,3.09,GL,1701656580
21,marsh harbour,26.5412,-77.0636,25.31,84,4,1.85,BS,1701656688
22,saipan,15.1355,145.701,29.39,65,40,7.72,MP,1701656688
23,horta,38.5333,-28.6333,14.81,53,50,3.0,PT,1701656688
24,olonkinbyen,70.9221,-8.7187,0.42,89,29,5.51,SJ,1701656689
25,port-aux-francais,-49.35,70.2167,4.42,75,9,14.8,TF,1701656689
26,mar del plata,-38.0023,-57.5575,13.38,64,0,4.47,AR,1701656428
27,lata,40.1629,-8.3327,12.12,96,100,1.17,PT,1701656689
28,avarua,-21.2078,-159.775,27.03,69,69,8.23,CK,1701656689
29,hamilton,39.1834,-84.5333,7.69,75,100,3.6,US,1701656091
30,verkhnevilyuysk,63.4453,120.3167,-48.2,100,75,0.27,RU,1701656689
